ap_mac,rssi,type
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-78,0
d4:ee:07:04:7f:4a,-78,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-72,0
d4:ee:07:04:7f:4a,-72,0
d4:ee:07:04:7f:4a,-72,0
d4:ee:07:04:7f:4a,-55,0
d4:ee:07:04:7f:4a,-55,0
d4:ee:07:04:7f:4a,-55,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-88,0
d4:ee:07:04:7f:4a,-88,0
d4:ee:07:04:7f:4a,-88,0
d4:ee:07:04:7f:4a,-80,0
d4:ee:07:04:7f:4a,-80,0
d4:ee:07:04:7f:4a,-80,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-79,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-90,0
d4:ee:07:04:7f:4a,-90,0
d4:ee:07:04:7f:4a,-90,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-63,0
d4:ee:07:04:7f:4a,-63,0
d4:ee:07:04:7f:4a,-63,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-70,0
d4:ee:07:04:7f:4a,-73,0
d4:ee:07:04:7f:4a,-73,0
d4:ee:07:04:7f:4a,-73,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-84,0
d4:ee:07:04:7f:4a,-84,0
d4:ee:07:04:7f:4a,-84,0
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-69,0
d4:ee:07:04:7f:4a,-87,0
d4:ee:07:04:7f:4a,-87,0
d4:ee:07:04:7f:4a,-87,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-76,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-82,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-74,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-77,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-91,0
d4:ee:07:04:7f:4a,-81,0
d4:ee:07:04:7f:4a,-81,0
d4:ee:07:04:7f:4a,-81,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-75,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-85,0
d4:ee:07:04:7f:4a,-88,0
d4:ee:07:04:7f:4a,-88,0
d4:ee:07:04:7f:4a,-88,0
